Year,Fresh_Seafood_CPI
1970,24.6
1971,29.2
1972,30.3
1973,34
1974,44.6
1975,50.6
1976,58.8
1977,69.4
1978,71
1979,74
1980,78
1981,80.2
1982,86.5
1983,86.2
1984,86.4
1985,88.5
1986,89.3
1987,86.8
1988,84
1989,84.4
1990,88.7
1991,91
1992,89.7
1993,88.4
1994,87.1
1995,85.9
1996,89
1997,91.1
1998,92.6
1999,91.5
2000,88.9
2001,88.2
2002,88.1
2003,85.8
2004,84.6
2005,83.1
2006,85.5
2007,86.5
2008,87.9
2009,85.3
2010,84.5
2011,85.3
2012,85.9
2013,86.3
2014,96.5
2015,100
2016,101.9
2017,108.5
2018,111.4
2019,111.9
