市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
花渕浜,マコガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2010/01/22,84.2,32925,2,500,100,391,,
花渕浜,マコガレイ,生鮮,刺網全漁法,不明,0,2010/01/22,24.4,1440,1,100,50,59,,
花渕浜,マコガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2010/01/22,18.3,1320,1,100,50,72.1,,
花渕浜,すずき,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2010/01/22,437.9,129460,2,500,200,295.6,,
花渕浜,マダコ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2010/01/22,6.3,2835,1,450,450,450,,
花渕浜,エゾアワビ,活魚,採貝藻,不明,0,2010/01/22,134.7,875550,4,6500,6500,6500,,
花渕浜,エゾアワビ,活魚,採貝藻,動力船１トン以上３トン未満,0,2010/01/22,47.9,311350,2,6500,6500,6500,,
花渕浜,エゾアワビ,活魚,採貝藻,動力船１トン未満,0,2010/01/22,2.1,13650,1,6500,6500,6500,,
花渕浜,エゾアワビ,生鮮,採貝藻,不明,0,2010/01/22,11.9,41650,2,3500,3500,3500,,
花渕浜,その他の巻き貝,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2010/01/22,72,14475,1,300,150,201,,
花渕浜,トゲクリガニ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2010/01/22,9.7,2425,1,250,250,250,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2010/01/22,1.2,480,1,400,400,400,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2010/01/22,2,400,1,200,200,200,,
花渕浜,その他のさかな,活魚,刺網全漁法,不明,0,2010/01/22,2,2300,1,1500,800,1150,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2010/01/22,1,500,1,500,500,500,,
