市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
石巻,ニシン,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,0.4,320,1,800,800,800,,
石巻,マサバ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,38,380,5,10,10,10,,
石巻,メダイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,65.2,6520,10,100,100,100,,
石巻,シマガツオ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,6,300,1,50,50,50,,
石巻,まだら,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,1939.9,920984,12,680,50,474.7,,
石巻,まめたら,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,428,20544,12,48,48,48,,
石巻,すけとうだら,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,549,28020,12,200,20,51,,
石巻,こすけ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,85,1700,7,20,20,20,,
石巻,イトヒキダラ(赤ひげ),生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,13272,490173,10,37,36,36.9,,
石巻,アブラツノザメ(油ざめ),生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,124,11530,12,110,10,92.9,,
石巻,ネズミザメ(もうかざめ),生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,0,2000,1,0,0,0,,
石巻,ヒラメ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,19.8,10440,7,800,500,527.2,,
石巻,ババガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,48.2,46920,11,1600,500,973.4,,
石巻,ホシガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,2,2600,1,1300,1300,1300,,
石巻,マツカワ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,0.6,480,1,800,800,800,,
石巻,アカガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,532.8,233900,11,1250,20,439,,
石巻,ミギガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,8.8,1040,4,200,50,118.1,,
石巻,サメガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,113,34940,11,700,50,309.2,,
石巻,ヒレグロ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,10.8,840,6,500,20,77.7,,
石巻,アブラガレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,33.4,3290,11,200,50,98.5,,
石巻,調研カレイ,生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,12.4,916,6,100,20,73.8,,
石巻,マアナゴ(はも),生鮮,沖合底曳網・板曳,動力船５０トン以上１００トン未満,0,2011/01/12,69.6,23140,11,350,300,332.4,,
