市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
気仙沼,マツモ,生鮮,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,7.9,9011,1,1390,1040,1140.6,,
気仙沼,その他のさかな,生鮮,たら・すけとうだら延縄,動力船１０トン以上２０トン未満,0,2013/03/21,0,700,1,99999,99999,0,,
気仙沼,その他のさかな,生鮮,その他漁業種・全漁法,動力船３トン以上５トン未満,0,2013/03/21,0,1370,1,99999,99999,0,,
気仙沼,その他のさかな,生鮮,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,0,319,1,99999,99999,0,,
気仙沼,ヒラメ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,8.2,12248,2,3390,588,1493.7,,
気仙沼,ヒラメ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,2.8,4215,1,1290,580,1505.4,,
気仙沼,マコガレイ,活魚,その他漁業種,不明,0,2013/03/21,22.3,9343,1,453,390,419,,
気仙沼,マコガレイ,活魚,その他漁業種・全漁法,動力船３トン以上５トン未満,0,2013/03/21,38.6,18896,2,639,319,489.5,,
気仙沼,マコガレイ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,56.2,26951,4,589,350,479.6,,
気仙沼,マコガレイ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,33.9,15716,2,583,371,463.6,,
気仙沼,ムシガレイ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,2.7,2076,1,769,769,768.9,,
気仙沼,ムシガレイ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,5.5,3810,1,721,661,692.7,,
気仙沼,ババガレイ,活魚,その他漁業種,不明,0,2013/03/21,19.3,21302,1,1470,521,1103.7,,
気仙沼,ババガレイ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,3.6,5354,2,1400,1330,1487.2,,
気仙沼,ババガレイ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,2.3,1829,1,739,439,795.2,,
気仙沼,アカガレイ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,0,539,1,99999,99999,0,,
気仙沼,イシガレイ,活魚,その他漁業種,不明,0,2013/03/21,4,4056,1,1090,921,1014,,
気仙沼,イシガレイ,活魚,その他漁業種・全漁法,動力船３トン以上５トン未満,0,2013/03/21,0,5,1,99999,99999,0,,
気仙沼,イシガレイ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,1.2,1560,1,1300,1300,1300,,
気仙沼,まだら,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,11.6,1896,1,259,103,163.4,,
気仙沼,アイナメ,活魚,その他漁業種・全漁法,動力船１０００トン以上,0,2013/03/21,3.1,7203,1,2100,2100,2323.5,,
気仙沼,アイナメ,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,10.9,27250,1,2500,2500,2500,,
気仙沼,アイナメ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,8.3,15455,2,2890,693,1862,,
気仙沼,マアナゴ(はも),活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,27.2,82836,1,3600,2810,3045.4,,
気仙沼,マアナゴ(はも),活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,6.1,17599,1,3190,1950,2885.1,,
気仙沼,あんこう類,活魚,その他漁業種,不明,0,2013/03/21,8.5,5258,1,699,471,618.6,,
気仙沼,あんこう類,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,13.2,8398,1,700,497,636.2,,
気仙沼,あんこう類,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,10,5800,1,580,580,580,,
気仙沼,ナガヅカ,活魚,その他漁業種,不明,0,2013/03/21,0,5,1,99999,99999,0,,
気仙沼,ミズダコ,活魚,その他漁業種・全漁法,動力船１０００トン以上,0,2013/03/21,7.9,5408,1,796,366,684.6,,
気仙沼,ミズダコ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,9.4,8356,1,900,880,888.9,,
気仙沼,トゲクリガニ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,0,560,1,99999,99999,0,,
気仙沼,マナマコ,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,0,171,1,99999,99999,0,,
気仙沼,その他のさかな,活魚,その他漁業種・全漁法,動力船３トン以上５トン未満,0,2013/03/21,0,939,1,99999,99999,0,,
気仙沼,その他のさかな,活魚,その他漁業種・全漁法,動力船１トン未満,0,2013/03/21,0,5,1,99999,99999,0,,
気仙沼,その他のさかな,活魚,その他漁業種・全漁法,動力船１０００トン以上,0,2013/03/21,0,693,1,99999,99999,0,,
気仙沼,その他のさかな,活魚,その他漁業種・全漁法,動力船１トン以上３トン未満,0,2013/03/21,0,2380,2,99999,99999,0,,
気仙沼,まぐろ,生鮮,輸入魚,不明,0,2013/03/21,145,210306,1,1910,839,1450.4,,
気仙沼,めばち,生鮮,まぐろ延縄･近海,動力船１００トン以上２００トン未満,0,2013/03/21,132.6,221967,1,2550,982,1674,,
気仙沼,めばち,生鮮,輸入魚,不明,0,2013/03/21,2622.2,2988685,4,2250,654,1139.8,,
気仙沼,だるま,生鮮,まぐろ延縄･近海,動力船１００トン以上２００トン未満,0,2013/03/21,37,40901,1,1290,938,1105.4,,
気仙沼,だるま,生鮮,輸入魚,不明,0,2013/03/21,740,820696,4,2130,700,1109,,
気仙沼,きはだ,生鮮,その他漁業種,不明,0,2013/03/21,385.6,684186,2,2530,1290,1774.3,,
気仙沼,きはだ,生鮮,輸入魚,不明,0,2013/03/21,194.6,193547,1,1090,859,994.6,,
気仙沼,メカジキ,生鮮,まぐろ延縄･近海,動力船１００トン以上２００トン未満,0,2013/03/21,5542.4,6932464,1,1810,690,1250.8,,
気仙沼,メカジキ,生鮮,その他漁業種,不明,0,2013/03/21,588.2,758052,2,1360,1050,1288.8,,
気仙沼,メカジキ,冷凍,その他漁業種,不明,0,2013/03/21,98.8,103586,1,1350,919,1048.4,,
