市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
牡鹿,カナガシラ,活魚,定置網・ます網つぼ網(小型定置),動力船５トン以上１０トン未満,0,2004/07/23,0.6,216,1,360,360,360,,
牡鹿,そげ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/07/23,5.8,6670,2,1300,1000,1150,,
牡鹿,そげ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/07/23,3.8,4190,3,1300,1000,1102.6,,
牡鹿,そげ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2004/07/23,1.4,1520,2,1300,1000,1085.7,,
牡鹿,そげ,活魚,刺網全漁法,不明,0,2004/07/23,6.9,7830,2,1300,1000,1134.7,,
牡鹿,ミズダコ,活魚,せん漁業,動力船１トン以上３トン未満,0,2004/08/12,35.6,16020,1,450,450,450,,
牡鹿,アイナメ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/07/28,11,9729,5,1400,550,884.4,,
牡鹿,メバル,生鮮,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2004/07/28,3.8,2516,2,1780,10,662.1,,
牡鹿,メバル,生鮮,その他の釣,動力船１トン以上３トン未満,0,2004/07/28,3.8,38,1,10,10,10,,
牡鹿,タケノコメバル,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/07/28,0.5,630,1,1260,1260,1260,,
牡鹿,その他のそい類,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/07/28,0.7,280,1,400,400,399.9,,
牡鹿,その他のそい類,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/07/28,1.3,1555,2,1250,1150,1196.1,,
牡鹿,ヌマガレイ(カワガレイ),活魚,刺網全漁法,不明,0,2004/07/26,0.9,90,1,100,100,100,,
牡鹿,その他のさかな,生鮮,刺網全漁法,不明,0,2004/09/06,1,100,1,100,100,100,,
牡鹿,ミズダコ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,53.6,10440,3,300,150,194.7,,
牡鹿,ミズダコ,活魚,刺網全漁法,不明,0,2004/09/06,18,4350,2,300,150,241.6,,
牡鹿,ミズダコ,活魚,せん漁業,動力船１トン以上３トン未満,0,2004/09/06,27,8100,2,300,300,300,,
牡鹿,ミズダコ,活魚,せん漁業,動力船３トン以上５トン未満,0,2004/09/06,125.4,34920,4,300,150,278.4,,
牡鹿,ミズダコ,活魚,せん漁業,動力船１０トン以上２０トン未満,0,2004/09/06,55,14700,3,300,150,267.2,,
牡鹿,ミズダコ,活魚,せん漁業,不明,0,2004/09/06,61,16950,3,300,150,277.8,,
牡鹿,ミズダコ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,10,500,1,50,50,50,,
牡鹿,コチ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,6.1,11200,2,2800,1120,1836,,
牡鹿,ケムシカジカ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,2,20,1,10,10,10,,
牡鹿,カナガシラ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,0.5,250,1,500,500,500,,
牡鹿,カナガシラ,活魚,刺網全漁法,不明,0,2004/09/06,0.6,300,1,500,500,500,,
牡鹿,そげ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,14.9,25310,2,2160,1150,1698.6,,
牡鹿,そげ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,3.4,3910,2,1150,1150,1150,,
牡鹿,そげ,活魚,刺網全漁法,不明,0,2004/09/06,0.7,805,1,1150,1150,1150,,
牡鹿,はが,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,0.7,2471,1,3530,3530,3529.9,,
牡鹿,はが,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,0.9,3177,1,3530,3530,3530,,
牡鹿,ひらめ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,10.3,14170,3,4500,560,1375.7,,
牡鹿,ヒラメ累計,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,25.9,41951,6,4500,560,1619.7,,
牡鹿,ヒラメ累計,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,4.3,7087,3,3530,1150,1648.1,,
牡鹿,ヒラメ累計,活魚,刺網全漁法,不明,0,2004/09/06,0.7,805,1,1150,1150,1150,,
牡鹿,その他のかれい,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,4,3848,1,1240,200,962,,
牡鹿,ババガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,0.8,704,1,880,880,880,,
牡鹿,マコガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,61.6,126174,7,5500,660,2048.2,,
牡鹿,マコガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,46.6,72189,7,5500,660,1549.1,,
牡鹿,せいご,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,0.9,720,1,800,800,800,,
牡鹿,せいご,活魚,その他の釣,動力船１トン以上３トン未満,0,2004/09/06,20.2,18912,3,1660,800,936.2,,
牡鹿,スズキ累計,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,0.9,720,1,800,800,800,,
牡鹿,スズキ累計,活魚,その他の釣,動力船１トン以上３トン未満,0,2004/09/06,20.2,18912,3,1660,800,936.2,,
牡鹿,マダイ,生鮮,刺網全漁法,不明,0,2004/09/06,2.2,990,1,450,450,449.9,,
牡鹿,メバル,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,12.2,18060,4,1800,450,1480.3,,
牡鹿,メバル,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,0.8,664,1,830,830,830,,
牡鹿,タケノコメバル,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,2,2400,1,1200,1200,1200,,
牡鹿,その他のそい類,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,3.6,2910,3,2250,300,808.3,,
牡鹿,その他のそい類,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,1.2,2700,1,2250,2250,2250,,
牡鹿,その他のそい類,活魚,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2004/09/06,32.4,28512,2,880,880,880,,
牡鹿,その他のそい類,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,0.6,420,1,700,700,700,,
牡鹿,アイナメ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2004/09/06,6.6,12746,4,2670,1050,1931.2,,
牡鹿,アイナメ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2004/09/06,0.6,630,1,1050,1050,1050,,
