市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
女川,すけとうだら,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2007/01/22,1,1000,1,1000,1000,1000,,
女川,すけとうだら,生鮮,刺網全漁法,不明,0,2007/01/22,7.5,1180,1,200,120,157.3,,
女川,その他のさめ,生鮮,刺網全漁法,不明,0,2007/01/22,1,500,1,500,500,500,,
女川,メダイ,生鮮,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/22,1,200,1,200,200,200,,
女川,ひらめ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/22,3.3,6450,1,2500,1600,1954.5,,
女川,ひらめ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2007/01/22,1,1500,1,1500,1500,1500,,
女川,トゲクリガニ,生鮮,沿岸小漁,不明,0,2007/01/23,57,6650,1,300,50,116.6,,
女川,ミズダコ,生鮮,沿岸小漁,不明,0,2007/01/23,9,3600,1,400,400,400,,
女川,その他の巻き貝,生鮮,沿岸小漁,不明,0,2007/01/23,83,18260,1,220,220,220,,
女川,ワカメ,生鮮,沿岸小漁,不明,0,2007/01/23,27.8,4420,1,200,142,158.9,,
女川,マツモ,生鮮,沿岸小漁,動力船１トン未満,0,2007/01/23,2.1,2840,1,1466,1333,1352.3,,
女川,マツモ,生鮮,沿岸小漁,不明,0,2007/01/23,3.1,4200,1,1333,1333,1354.8,,
女川,エゾイソアイナメ,生鮮,沿岸小漁,不明,0,2007/01/23,150,31840,2,300,30,212.2,,
女川,ぽんたら,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,1.2,216,1,180,180,180,,
女川,ぽんたら,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,5.2,2670,2,1200,350,513.4,,
女川,すけとうだら,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,1,400,1,400,400,400,,
女川,その他のさめ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2007/02/02,7,1050,1,150,150,150,,
女川,その他のさめ,生鮮,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/02/02,12,1560,1,150,70,130,,
女川,ひらめ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,3.3,7590,2,2300,2300,2300,,
女川,はが,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,5.6,4870,3,1200,600,869.6,,
女川,はが,活魚,刺網全漁法,不明,0,2007/02/02,1.1,880,1,800,800,800,,
女川,はが,生鮮,刺網全漁法,不明,0,2007/02/02,1,800,1,800,800,800,,
女川,マガレイ,活魚,刺網全漁法,動力船１トン未満,0,2007/02/02,13.6,3413,1,400,100,250.9,,
女川,マガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2007/02/02,32.1,10364,1,480,100,322.8,,
女川,マガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/02/02,29.1,8093,3,450,100,278.1,,
女川,マガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2007/02/02,18.9,7054,1,600,250,373.2,,
女川,マガレイ,活魚,刺網全漁法,不明,0,2007/02/02,141.1,39698,5,480,100,281.3,,
女川,マガレイ,生鮮,刺網全漁法,動力船１トン未満,0,2007/02/02,1,400,1,400,400,400,,
女川,イシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,1.6,400,1,250,250,250,,
女川,イシガレイ,活魚,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,1.3,390,1,300,300,300,,
女川,ホシガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2007/01/13,2.9,5800,0,2000,2000,2000,,
女川,ムシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,3,3000,2,1000,1000,1000,,
女川,ムシガレイ,活魚,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,1.3,1300,1,1000,1000,1000,,
女川,ムシガレイ,活魚,刺網全漁法,不明,0,2007/01/13,1,800,1,800,800,800,,
女川,ムシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,2.6,1480,2,800,200,569.2,,
女川,ババガレイ,活魚,刺網全漁法,動力船１トン未満,0,2007/01/13,0.6,960,1,1600,1600,1600,,
女川,ババガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,9.7,12200,3,1500,500,1257.7,,
女川,ババガレイ,活魚,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,1,700,1,700,700,700,,
女川,ババガレイ,活魚,刺網全漁法,不明,0,2007/01/13,5.9,8340,1,1800,800,1413.5,,
女川,ババガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2007/01/13,1,600,1,600,600,600,,
女川,シロサケ,生鮮,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,7.5,550,1,100,50,73.3,,
女川,ミズダコ,活魚,刺網全漁法,動力船１トン未満,0,2007/01/13,24,10800,1,450,450,450,,
女川,ミズダコ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,11.3,4655,1,450,400,411.9,,
女川,メバル,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,1,50,1,50,50,50,,
女川,その他のそい類,活魚,刺網全漁法,動力船１トン未満,0,2007/01/13,1,400,1,400,400,400,,
女川,その他のそい類,活魚,刺網全漁法,不明,0,2007/01/13,1,750,1,750,750,750,,
女川,その他のそい類,生鮮,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,1,1000,1,1000,1000,1000,,
女川,アイナメ,活魚,刺網全漁法,動力船１トン未満,0,2007/01/13,13.4,4965,1,450,250,370.5,,
女川,アイナメ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,1.5,450,1,300,300,300,,
女川,アイナメ,活魚,刺網全漁法,動力船１０トン以上２０トン未満,0,2007/01/13,3.1,1205,1,450,300,388.7,,
女川,アイナメ,活魚,刺網全漁法,不明,0,2007/01/13,0.7,210,1,300,300,300,,
女川,アイナメ,生鮮,刺網全漁法,動力船１トン未満,0,2007/01/13,4.5,850,1,200,180,188.8,,
女川,アイナメ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,31,500,1,16,16,16.1,,
女川,あんこう類,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,10.8,10260,2,1000,700,950,,
女川,ケムシカジカ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2007/01/13,0.5,50,2,100,100,100,,
女川,ウミタナゴ,生鮮,刺網全漁法,動力船１トン未満,0,2007/01/13,1,400,1,400,400,400,,
女川,エゾイソアイナメ,生鮮,刺網全漁法,動力船１トン未満,0,2007/01/13,1,200,1,200,200,200,,
女川,ヤリイカ,生鮮,いか釣漁業(沿岸小型),動力船１０トン以上２０トン未満,0,2007/01/15,15,10600,1,700,500,706.6,,
女川,まだら,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2007/01/15,468.7,211190,2,800,150,450.5,,
