市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
塩釜市,ホタテガイ,生鮮,その他漁業種,全階層,0,2013/01/29,42,25000,1,850,525,595.2,,
塩釜市,エゾイソアイナメ,生鮮,その他漁業種,全階層,0,2013/02/02,20.1,10135,1,650,400,504.2,,
塩釜市,カジカ類,生鮮,その他漁業種,全階層,0,2013/02/02,3,2550,1,850,850,850,,
塩釜市,ケムシカジカ,生鮮,沿岸小漁,不明,0,2013/02/02,9.7,3880,1,400,400,400,,
塩釜市,ケムシカジカ,生鮮,その他漁業種,全階層,0,2013/02/02,8.2,4510,1,550,550,550,,
塩釜市,カナガシラ,生鮮,その他漁業種,全階層,0,2013/02/02,3,3900,1,1300,1300,1300,,
塩釜市,ムツ,生鮮,その他漁業種,全階層,0,2013/02/02,0.8,4290,1,5500,5500,5500,,
塩釜市,メバル,生鮮,その他漁業種,全階層,0,2013/02/02,6.6,9570,1,1450,1450,1450,,
塩釜市,全魚種,生鮮,その他漁業種,全階層,0,2013/02/02,22.3,121535,1,5450,5450,5450,,
塩釜市,全魚種,生鮮,その他漁業種,全階層,0,2013/02/02,1.5,9000,1,6000,6000,6000,,
塩釜市,全魚種,その他,その他漁業種,全階層,0,2013/02/02,6,24000,1,4000,4000,4000,,
塩釜市,ホタテガイ,生鮮,その他漁業種,全階層,0,2013/02/02,71,47400,1,850,525,667.6,,
塩釜市,ヤマトシジミ,生鮮,その他漁業種,全階層,0,2013/02/02,75,40750,1,1000,420,543.3,,
塩釜市,アサリ,生鮮,その他漁業種,不明,0,2013/02/02,50,47500,1,1050,850,950,,
塩釜市,ホッキガイ,生鮮,その他漁業種,全階層,0,2013/02/02,103.3,27560,1,533,209,266.8,,
塩釜市,ホッキガイ,生鮮,その他漁業種,不明,0,2013/02/02,90,51700,1,630,500,574.4,,
塩釜市,アカガイ,生鮮,その他漁業種,全階層,0,2013/02/02,13,22750,1,1750,1750,1750,,
塩釜市,その他の二枚貝,生鮮,その他漁業種,全階層,0,2013/02/02,5,4250,1,850,850,850,,
塩釜市,トリガイ,生鮮,その他漁業種,全階層,0,2013/02/02,1,6000,1,6000,6000,6000,,
塩釜市,マナマコ,生鮮,その他漁業種,全階層,0,2013/02/02,10,7500,1,800,700,750,,
塩釜市,あわび類,活魚,その他漁業種,全階層,0,2013/02/02,18,99900,1,5800,5500,5550,,
塩釜市,モスソガイ,生鮮,沿岸小漁,全階層,0,2013/02/02,42.5,19125,1,450,450,450,,
塩釜市,モスソガイ,生鮮,沿岸小漁,不明,0,2013/02/02,31,11975,1,500,300,386.3,,
塩釜市,モズク,生鮮,その他漁業種,全階層,0,2013/02/02,2,1300,1,650,650,650,,
塩釜市,ノリ,生鮮,その他漁業種,全階層,0,2013/02/02,6,3000,1,500,500,500,,
塩釜市,全魚種,生鮮,その他漁業種,不明,0,2013/02/02,11,8800,0,800,800,800,,
塩釜市,全魚種,生鮮,その他漁業種,全階層,0,2013/02/02,20,30800,1,2500,1000,1540,,
塩釜市,めばち,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,116.4,95560,1,1200,400,821,,
塩釜市,めばち,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,401.2,221128,1,1000,100,551.2,,
塩釜市,きはだ,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,167.2,165900,1,1300,500,992.2,,
塩釜市,ビンナガ,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,17571.8,6694414,1,600,100,381,,
塩釜市,メカジキ,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,186,46380,1,500,130,249.4,,
塩釜市,マカジキ,生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,124,44900,1,600,250,362.1,,
塩釜市,クロカジキ(くろかわ),生鮮,まぐろ延縄･近海,全階層,0,2013/02/04,205,131350,1,700,550,640.7,,
塩釜市,ぶり,生鮮,その他漁業種,全階層,0,2013/02/04,22,14300,1,650,650,650,,
塩釜市,サメガレイ,生鮮,その他漁業種,全階層,0,2013/02/04,3,5700,1,1900,1900,1900,,
塩釜市,ひらめ,活魚,その他漁業種,不明,0,2013/02/04,15.9,31005,1,1950,1950,1950,,
塩釜市,ひらめ,生鮮,その他漁業種,全階層,0,2013/02/04,1.9,8170,1,4300,4300,4300,,
塩釜市,ババガレイ,生鮮,その他漁業種,全階層,0,2013/02/04,19.7,19515,1,1950,900,990.6,,
塩釜市,ババガレイ,生鮮,その他漁業種,不明,0,2013/02/04,27,27000,1,1000,1000,1000,,
