市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
塩釜Ｋ,全魚種,生鮮,その他漁業種,全階層,0,2012/01/16,66.6,62790,6,1300,800,942.8,,
塩釜Ｋ,全魚種,生鮮,その他漁業種,全階層,0,2012/01/16,21.4,43370,2,2300,1800,2026.6,,
塩釜Ｋ,マイワシ,生鮮,その他漁業種,全階層,0,2012/01/16,14,7000,4,1000,1000,500,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2012/01/16,10,7000,4,700,700,700,,
塩釜Ｋ,シロサケ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/16,5.3,1590,1,300,300,300,,
塩釜Ｋ,メバル,生鮮,沖合底曳網・板曳,全階層,0,2012/01/16,1,1000,1,0,0,1000,,
塩釜Ｋ,ソウハチ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/16,1.4,140,1,100,100,100,,
塩釜Ｋ,スルメイカ,生鮮,その他漁業種,全階層,0,2012/01/16,50,23000,2,2300,2300,460,,
塩釜Ｋ,アイナメ,生鮮,小型底曳網・板曳,全階層,0,2012/01/16,7,5800,2,800,800,828.6,,
塩釜Ｋ,マアナゴ(はも),生鮮,小型底曳網・板曳,全階層,0,2012/01/16,2.5,4500,1,1800,1800,1800,,
塩釜Ｋ,たこ類,生鮮,小型底曳網・板曳,全階層,0,2012/01/16,8.4,5560,2,700,500,661.9,,
塩釜Ｋ,モスソガイ,生鮮,小型底曳網・板曳,全階層,0,2012/01/16,310.5,65175,8,400,150,209.9,,
塩釜Ｋ,そい類,生鮮,小型底曳網・板曳,全階層,0,2012/01/16,2.3,2730,2,1300,1100,1187,,
塩釜Ｋ,めばち,生鮮,輸入魚,全階層,0,2012/01/16,487.6,584580,9,1500,800,1198.9,,
塩釜Ｋ,ヤナギムシガレイ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,25.7,31660,9,2500,600,1231.9,,
塩釜Ｋ,ムシガレイ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,3.3,1110,2,500,200,336.4,,
塩釜Ｋ,あんこう類,生鮮,小型底曳網・その他,全階層,0,2012/01/17,1.8,180,1,100,100,100,,
塩釜Ｋ,すずき,生鮮,小型底曳網・その他,全階層,0,2012/01/17,3.2,1280,2,400,400,400,,
塩釜Ｋ,ケムシカジカ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,3,100,1,0,0,33.3,,
塩釜Ｋ,ふぐ類,生鮮,小型底曳網・その他,全階層,0,2012/01/17,1.5,600,1,400,400,400,,
塩釜Ｋ,その他のさめ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,4,400,1,100,100,100,,
塩釜Ｋ,ヒラメ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,18.8,4330,2,300,200,230.3,,
塩釜Ｋ,マガレイ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,14.6,5925,5,550,50,405.8,,
塩釜Ｋ,アカガレイ,生鮮,小型底曳網・その他,全階層,0,2012/01/17,1.6,288,1,180,180,180,,
塩釜Ｋ,マアナゴ(はも),生鮮,小型底曳網・その他,全階層,0,2012/01/17,4.4,5280,1,1200,1200,1200,,
塩釜Ｋ,すけとうだら,生鮮,小型底曳網・その他,全階層,0,2012/01/17,28,2658,4,200,30,94.9,,
塩釜Ｋ,そい類,生鮮,小型底曳網・その他,全階層,0,2012/01/17,0.5,500,1,0,0,1000,,
塩釜Ｋ,まだら,生鮮,小型底曳網・その他,全階層,0,2012/01/17,107.4,11486,6,250,50,106.9,,
塩釜Ｋ,ぽんたら,生鮮,小型底曳網・その他,全階層,0,2012/01/17,301.5,6220,3,30,20,20.6,,
塩釜Ｋ,たこ類,生鮮,小型底曳網・その他,全階層,0,2012/01/17,26.5,4900,3,250,150,184.9,,
塩釜Ｋ,マガレイ,生鮮,刺網全漁法,全階層,0,2012/01/17,86.4,45975,16,700,200,532.1,,
塩釜Ｋ,ヤナギムシガレイ,生鮮,刺網全漁法,全階層,0,2012/01/17,3.5,1900,3,800,800,542.9,,
塩釜Ｋ,マコガレイ,生鮮,刺網全漁法,全階層,0,2012/01/17,83.5,20635,9,300,200,247.1,,
塩釜Ｋ,イシガレイ,生鮮,刺網全漁法,全階層,0,2012/01/17,19.8,3960,3,200,200,200,,
塩釜Ｋ,まだら,生鮮,刺網全漁法,全階層,0,2012/01/17,2739.9,324138,58,300,10,118.3,,
塩釜Ｋ,ぶり,生鮮,その他漁業種,全階層,0,2012/01/17,49.8,34860,2,700,700,700,,
塩釜Ｋ,全魚種,生鮮,その他漁業種,全階層,0,2012/01/17,2.5,2500,1,1000,1000,1000,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2012/01/17,50,17800,10,700,250,356,,
塩釜Ｋ,きちじ,生鮮,その他漁業種,全階層,0,2012/01/17,8,8000,3,2000,2000,1000,,
塩釜Ｋ,全魚種,生鮮,その他漁業種,全階層,0,2012/01/17,11.6,21550,2,2000,1500,1857.8,,
塩釜Ｋ,めばち,生鮮,輸入魚,全階層,0,2012/01/17,291.4,296800,5,1300,800,1018.5,,
塩釜Ｋ,めばち,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,612.2,641000,10,2500,300,1047,,
塩釜Ｋ,めばち,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,933.4,641520,29,1300,200,687.3,,
塩釜Ｋ,きはだ,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,38,34200,1,900,900,900,,
塩釜Ｋ,きはだ,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,16.2,6480,1,400,400,400,,
塩釜Ｋ,マカジキ,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,129,63000,3,600,300,488.4,,
塩釜Ｋ,メカジキ,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,81,55500,2,800,500,685.2,,
塩釜Ｋ,ビンナガ,生鮮,まぐろ延縄･近海,全階層,0,2012/01/17,32252,12955036,142,700,220,401.7,,
塩釜Ｋ,こういか類,生鮮,沖合底曳網・板曳,全階層,0,2012/01/18,1320,217800,1,165,165,165,,
塩釜Ｋ,ホラアナゴ(沖はも),生鮮,沖合底曳網・板曳,全階層,0,2012/01/18,420,86520,1,206,206,206,,
塩釜Ｋ,めばち,生鮮,輸入魚,全階層,0,2012/01/18,568,520980,10,1300,250,917.2,,
塩釜Ｋ,ケガニ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,35,32000,6,6000,3500,914.3,,
塩釜Ｋ,ホウボウ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,98.8,45892,15,5500,30,464.5,,
塩釜Ｋ,ババガレイ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,388.9,206605,28,1300,30,531.3,,
塩釜Ｋ,こういか類,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,1930,330030,3,171,171,171,,
塩釜Ｋ,あんこう類,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,61.8,48380,6,900,500,782.8,,
塩釜Ｋ,マアナゴ(はも),生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,40.5,21445,6,550,400,529.5,,
塩釜Ｋ,ウスメバル,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,41.7,19890,5,700,200,477,,
塩釜Ｋ,いしなぎ類,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,1.5,2500,2,0,0,1666.7,,
塩釜Ｋ,サメガレイ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,338.6,207726,12,800,100,613.5,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,38.5,7560,6,450,50,196.4,,
塩釜Ｋ,メダイ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,57,13100,4,1800,200,229.8,,
塩釜Ｋ,スルメイカ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,4,450,2,50,50,112.5,,
塩釜Ｋ,その他のさめ,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,36.5,1645,3,50,10,45.1,,
塩釜Ｋ,たこ類,生鮮,沖合底曳網・板曳,全階層,0,2012/01/19,58,11800,9,300,100,203.4,,
塩釜Ｋ,すけとうだら,生鮮,小型底曳網・その他,全階層,0,2012/01/19,86,5084,6,200,20,59.1,,
塩釜Ｋ,まだら,生鮮,小型底曳網・その他,全階層,0,2012/01/19,234.4,42290,18,800,50,180.4,,
塩釜Ｋ,ぽんたら,生鮮,小型底曳網・その他,全階層,0,2012/01/19,681.2,13852,5,30,20,20.3,,
塩釜Ｋ,たこ類,生鮮,小型底曳網・その他,全階層,0,2012/01/19,63,15080,5,400,180,239.4,,
塩釜Ｋ,マアナゴ(はも),生鮮,小型底曳網・板曳,全階層,0,2012/01/19,6,9600,1,1600,1600,1600,,
塩釜Ｋ,たこ類,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,17.3,9270,3,600,500,535.8,,
塩釜Ｋ,モスソガイ,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,311,40750,7,250,100,131,,
塩釜Ｋ,メバル,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,6.5,6750,3,1300,500,1038.5,,
塩釜Ｋ,まだら,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,84.5,9573,5,200,50,113.3,,
塩釜Ｋ,ヤナギムシガレイ,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,1.3,1300,1,1000,1000,1000,,
塩釜Ｋ,ヒラメ,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,2,800,1,400,400,400,,
塩釜Ｋ,マガレイ,生鮮,小型底曳網・板曳,全階層,0,2012/01/19,26.1,10760,3,500,400,412.3,,
