市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
志津川,まだら,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,25,2650,2,130,100,106,,
志津川,まだら,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,8,960,1,120,120,120,,
志津川,まだら,生鮮,刺網全漁法,動力船１トン未満,0,2013/03/01,20,3700,2,1600,100,185,,
志津川,まだら,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,45,12000,1,400,160,266.7,,
志津川,まだら,生鮮,せん漁業,不明,0,2013/03/01,10,2000,1,240,160,200,,
志津川,ババガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,5.3,3970,2,1300,350,749.1,,
志津川,ババガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,5.3,3040,1,800,400,573.6,,
志津川,ババガレイ,生鮮,刺網全漁法,動力船１トン未満,0,2013/03/01,19,10335,4,1300,350,543.9,,
志津川,イシガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,1.2,600,1,500,500,500,,
志津川,ホシガレイ,生鮮,刺網全漁法,不明,0,2013/03/01,1,1480,1,1800,1000,1480,,
志津川,ホシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,0.2,160,1,800,800,800,,
志津川,ホシガレイ,生鮮,刺網全漁法,動力船１トン未満,0,2013/03/01,1.5,3390,1,2500,1600,2260,,
志津川,サメガレイ,生鮮,刺網全漁法,不明,0,2013/03/01,0.8,800,1,1000,1000,1000,,
志津川,サメガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,1.2,960,1,800,800,800,,
志津川,マコガレイ,生鮮,刺網全漁法,不明,0,2013/03/01,13,4554,2,380,330,350.3,,
志津川,マコガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,13.5,5975,3,600,350,442.6,,
志津川,マコガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,24.3,10055,2,580,350,413.8,,
志津川,マコガレイ,生鮮,刺網全漁法,動力船１トン未満,0,2013/03/01,17.5,7020,2,500,350,401.1,,
志津川,ムシガレイ,生鮮,刺網全漁法,不明,0,2013/03/01,1,600,1,600,600,600,,
志津川,ムシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,10,6280,2,700,500,628,,
志津川,ムシガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,17,11100,2,800,500,652.9,,
志津川,ムシガレイ,生鮮,刺網全漁法,動力船１トン未満,0,2013/03/01,42,22200,2,1000,300,528.6,,
志津川,アカガレイ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2013/03/01,5,4000,1,800,800,800,,
志津川,ミズダコ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2013/03/01,5.5,1375,1,250,250,250,,
志津川,ミズダコ,生鮮,せん漁業,不明,0,2013/03/01,61.2,40340,2,900,450,659.2,,
志津川,ミズダコ,生鮮,せん漁業,動力船１トン未満,0,2013/03/01,26.7,18615,1,750,450,697.2,,
