市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
渡波,クロソイ,生鮮,その他漁業種,不明,0,2005/03/26,8,8000,1,1000,1000,1000,,
渡波,ケムシカジカ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,8.8,1760,4,200,200,199.9,,
渡波,ホウボウ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,0.6,780,1,1300,1300,1300,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,24.6,35260,5,3000,500,1433.3,,
渡波,ババガレイ,生鮮,小型底曳網・板曳,不明,0,2005/01/25,3.4,4000,1,2000,600,1176.4,,
渡波,ホシガレイ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,0.6,600,2,1000,1000,1000,,
渡波,トラフグ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,1,5500,1,5500,5500,5500,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/25,0,110,2,0,0,0,,
渡波,調研サメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/25,2,140,1,70,70,70,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/25,1.2,36,1,30,30,30,,
渡波,マダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/25,16.6,4950,5,450,150,298.1,,
渡波,ミズダコ,生鮮,小型底曳網・板曳,不明,0,2005/01/25,153,42440,1,460,50,277.3,,
渡波,マダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/20,51,16050,5,450,150,314.7,,
渡波,キチジ累計,生鮮,その他漁業種,不明,0,2005/01/18,32,4160,1,130,130,1,,
渡波,ヒラメ累計,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/12,23.4,28620,4,4500,300,1,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/13,29,610,8,30,20,21,,
渡波,にべ・ぐち(いしもち),生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/13,7.2,1600,7,400,100,222.2,,
渡波,きちじ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2005/01/13,7,13000,1,1857,1857,1857.1,,
渡波,キチジ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2005/01/13,7,13000,1,1857,1857,1857.1,,
渡波,アブラボウズ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2005/01/13,9,14400,1,1600,1600,1600,,
渡波,アイナメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/13,0.4,200,1,500,500,500,,
渡波,ケムシカジカ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/13,0.4,80,1,200,200,200,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/13,21.4,39060,5,4000,300,1825.2,,
渡波,ヒラメ,生鮮,その他漁業種,不明,0,2005/01/13,7.2,5220,2,1000,700,725,,
渡波,ヒラメ累計,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/13,21.4,39060,5,4000,300,1825.2,,
渡波,ヒラメ累計,生鮮,その他漁業種,不明,0,2005/01/13,7.2,5220,2,1000,700,725,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/13,2,120,2,10,10,60,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/13,7.6,950,3,200,10,124.9,,
渡波,調研フグ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2005/01/13,2.4,960,1,400,400,400,,
渡波,マダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2005/01/13,32,11240,4,450,200,351.2,,
渡波,マダコ,活魚,沿岸小漁,不明,0,2005/01/13,66.4,31890,2,500,300,480.2,,
