市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
亘理,マコガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,20.6,5020,1,300,200,243.7,0005331,0004
亘理,マコガレイ,活魚,刺網全漁法,不明,0,2016/01/22,172.5,51750,2,300,300,300,0005331,0008
亘理,マコガレイ,活魚,刺網全漁法,動力船１０００トン以上,0,2016/01/22,131.4,38715,2,300,150,294.6,0005331,0008
亘理,マコガレイ,活魚,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,1.4,140,1,100,100,100,0005331,0053
亘理,マコガレイ,生鮮,刺網全漁法,不明,0,2016/01/22,497.3,100735,2,400,150,202.6,0005331,0008
亘理,マコガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2016/01/22,58.7,14625,1,300,150,249.1,0005331,0008
亘理,クロウシノシタ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,2.2,660,1,300,300,300,0005341,0004
亘理,ムシガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,1.5,150,1,100,100,100,0005344,0004
亘理,アカシタビラメ,生鮮,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,9,3600,1,400,400,400,0005392,0053
亘理,すずき,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,14.8,4200,2,400,200,283.8,0005401,0004
亘理,すずき,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,2.3,460,1,200,200,200,0005401,0004
亘理,すずき,生鮮,刺網全漁法,不明,0,2016/01/22,10.5,2100,1,200,200,200,0005401,0008
亘理,マダコ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,17.9,12360,1,1000,400,690.5,0005502,0004
亘理,マダコ,活魚,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,3.5,1225,1,350,350,350,0005502,0053
亘理,マダコ,生鮮,刺網全漁法,不明,0,2016/01/22,3.2,1120,1,350,350,350,0005502,0008
亘理,マダコ,生鮮,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,8.4,840,1,100,100,100,0005502,0053
亘理,アカガイ,生鮮,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,42,75450,1,2500,800,1796.4,0005801,0053
亘理,その他の巻き貝,生鮮,小型底曳網・桁あみ,動力船１０００トン以上,0,2016/01/22,6.6,3300,1,500,500,500,0005815,0053
亘理,アイナメ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,4.6,2300,1,500,500,500,0005902,0004
亘理,アイナメ,活魚,刺網全漁法,不明,0,2016/01/22,4.4,440,1,100,100,100,0005902,0008
亘理,アイナメ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,2.3,230,1,100,100,100,0005902,0004
亘理,マアナゴ(はも),活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,1.5,1500,1,1000,1000,1000,0005928,0004
亘理,ケムシカジカ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,12.4,4550,1,400,300,366.9,0006009,0004
亘理,ケムシカジカ,活魚,刺網全漁法,不明,0,2016/01/22,0,200,1,200,200,0,0006009,0008
亘理,ガザミ,活魚,刺網全漁法,不明,0,2016/01/22,30.5,18300,1,600,600,600,0006046,0008
亘理,ガザミ,生鮮,刺網全漁法,不明,0,2016/01/22,23,18520,1,1000,600,805.2,0006046,0008
亘理,ガザミ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2016/01/22,15.7,15700,1,1000,1000,1000,0006046,0008
亘理,ヒラツメガニ,活魚,刺網全漁法,不明,0,2016/01/22,24.3,5004,1,450,30,205.9,0006052,0008
亘理,クサウオ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,11.6,2320,1,200,200,200,0006194,0004
亘理,ひらめ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,244.5,220200,4,1500,500,900.6,0006224,0004
亘理,ひらめ,活魚,刺網全漁法,不明,0,2016/01/22,191,254740,4,1500,300,1333.7,0006224,0008
亘理,ひらめ,活魚,刺網全漁法,動力船１０００トン以上,0,2016/01/22,6.6,8230,1,1500,1000,1247,0006224,0008
亘理,ひらめ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2016/01/22,18.2,27300,1,1500,1500,1500,0006224,0008
亘理,ひらめ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,13.5,8710,1,800,500,645.2,0006224,0004
亘理,クサフグ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,7.5,3450,1,500,400,460,0006232,0004
亘理,クサフグ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/22,4,200,1,50,50,50,0006232,0004
亘理,まだら,活魚,小型底曳網・板曳,不明,0,2016/01/24,547.8,115985,5,300,100,211.7,0005009,0004
亘理,まだら,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/24,586.1,119210,9,300,100,203.4,0005009,0004
亘理,まだら,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2016/01/24,89.7,21480,3,600,50,239.5,0005009,0008
亘理,まだら,生鮮,小型底曳網・板曳,不明,0,2016/01/24,602.8,104980,2,400,100,174.2,0005009,0004
亘理,まだら,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/24,126.3,21540,2,400,50,170.5,0005009,0004
亘理,まだら,生鮮,刺網全漁法,動力船１０００トン以上,0,2016/01/24,177,29250,1,400,100,165.3,0005009,0008
亘理,まだら,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2016/01/24,143.1,18015,2,150,100,125.9,0005009,0008
亘理,ババガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2016/01/24,1.8,1420,2,900,500,788.9,0005302,0004
亘理,ババガレイ,活魚,刺網全漁法,不明,0,2016/01/24,1,700,1,700,700,700,0005302,0008
