市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
閖上,ブリ累計,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/10,4,2200,2,600,500,550,,
閖上,マガレイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,60,8800,9,300,75,146.7,,
閖上,イシガレイ,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,2,500,1,250,250,250,,
閖上,イシガレイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,2,300,1,150,150,150,,
閖上,イシガレイ,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,2,1000,1,500,500,500,,
閖上,ヌマガレイ(カワガレイ),生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,2,800,1,400,400,400,,
閖上,メイタガレイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,6,1200,3,400,100,200,,
閖上,その他のかれい,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,2,200,1,100,100,100,,
閖上,ひらめ,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,2,1800,1,900,900,900,,
閖上,ひらめ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,10,3800,4,500,300,380,,
閖上,ひらめ,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,16,4700,4,400,200,293.8,,
閖上,クロダイ,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,1,100,1,100,100,100,,
閖上,せっぱ,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,24,8900,5,433,200,370.8,,
閖上,せっぱ,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,6,1500,2,250,250,250,,
閖上,あお,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,24,4400,5,266,133,183.3,,
閖上,シロサケ,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,27,14500,6,666,333,537,,
閖上,クサフグ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,2,500,1,250,250,250,,
閖上,コタマガイ,生鮮,小型底曳網・桁あみ,動力船３トン以上５トン未満,0,2008/10/23,29.5,7965,2,270,270,270,,
閖上,コタマガイ,生鮮,小型底曳網・桁あみ,動力船５トン以上１０トン未満,0,2008/10/23,115.5,31185,3,270,270,270,,
閖上,マサバ累計,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/09/16,14,450,4,50,25,32,,
閖上,マサバ累計,生鮮,その他漁業種,不明,0,2008/09/16,18,1700,6,100,50,94,,
閖上,キチジ累計,生鮮,その他漁業種,不明,0,2008/09/16,20,7500,6,650,200,375,,
閖上,カナガシラ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/10/23,18,1400,3,100,50,77.8,,
閖上,その他のさかな,生鮮,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/23,3,200,1,66,66,66.7,,
閖上,シロサケ累計,生鮮,刺網全漁法,不明,0,2008/10/15,21,6400,4,333,266,305,,
閖上,スズキ累計,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/15,8,2000,1,250,250,250,,
閖上,ヒラメ累計,活魚,定置網・ます網つぼ網(小型定置),動力船１０トン以上２０トン未満,0,2008/10/14,2,2000,1,1000,1000,1000,,
閖上,ヒラメ累計,生鮮,その他漁業種,不明,0,2008/09/16,4,2000,2,500,500,500,,
閖上,アカシタビラメ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,6,800,3,200,50,133.3,,
閖上,マダイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,200,1,100,100,100,,
閖上,カガミダイ,生鮮,その他漁業種,不明,0,2008/01/16,14,900,3,150,50,64.3,,
閖上,せっぱ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,300,1,150,150,150,,
閖上,せっぱ,生鮮,その他漁業種,不明,0,2008/01/16,10,1900,3,350,150,190,,
閖上,まだら,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,12,2300,5,250,150,191.7,,
閖上,すけとうだら,生鮮,その他漁業種,不明,0,2008/01/16,10,900,4,150,50,90,,
閖上,クサフグ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,500,1,250,250,250,,
閖上,スルメイカ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,500,1,250,250,250,,
閖上,スルメイカ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,2,300,1,150,150,150,,
閖上,スルメイカ,生鮮,その他漁業種,不明,0,2008/01/16,22,3800,6,300,50,172.7,,
閖上,ヤリイカ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,8,1000,2,200,100,125,,
閖上,ヤリイカ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,6,1000,2,200,150,166.7,,
閖上,ヤリイカ,生鮮,その他漁業種,不明,0,2008/01/16,30,5750,8,200,175,191.7,,
閖上,ミズダコ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,400,1,200,200,200,,
閖上,ミズダコ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,16,4300,4,350,200,268.8,,
閖上,ミズダコ,生鮮,その他漁業種,不明,0,2008/01/16,4,500,2,150,100,125,,
閖上,アカガイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,89.9,155542,12,3600,422,1730.2,,
閖上,アカガイ,生鮮,小型底曳網・桁あみ,動力船３トン以上５トン未満,0,2008/01/16,15.3,25133,4,2595,804,1642.7,,
閖上,アカガイ,生鮮,小型底曳網・桁あみ,動力船５トン以上１０トン未満,0,2008/01/16,306.3,297568,11,3600,20,971.5,,
閖上,コタマガイ,生鮮,小型底曳網・桁あみ,動力船３トン以上５トン未満,0,2008/01/16,142.5,52500,5,400,350,368.4,,
閖上,コタマガイ,生鮮,小型底曳網・桁あみ,動力船５トン以上１０トン未満,0,2008/01/16,230,86525,5,400,350,376.2,,
閖上,その他の巻き貝,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,39.2,8905,2,290,204,227.2,,
閖上,その他の巻き貝,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,2,300,1,150,150,150,,
閖上,その他の巻き貝,生鮮,小型底曳網・桁あみ,動力船５トン以上１０トン未満,0,2008/01/16,35.7,7813,1,250,204,218.9,,
閖上,ズワイガニ,生鮮,その他漁業種,不明,0,2008/01/16,36,4900,9,200,66,136.1,,
閖上,ガザミ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,600,1,300,300,300,,
閖上,マアジ,生鮮,その他漁業種,不明,0,2008/01/16,2,300,1,150,150,150,,
閖上,ウマヅラハギ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,8,1500,3,250,150,187.5,,
閖上,アイナメ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,500,1,250,250,250,,
閖上,アイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,2,300,1,150,150,150,,
閖上,あんこう類,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,2,50,1,25,25,25,,
閖上,その他のさめ,生鮮,その他漁業種,不明,0,2008/01/16,8,1300,3,300,50,162.5,,
閖上,その他のさかな,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/16,2,100,1,50,50,50,,
閖上,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/16,2,500,1,250,250,250,,
閖上,その他のさかな,生鮮,その他漁業種,不明,0,2008/01/16,2,200,1,100,100,100,,
閖上,ヤリイカ,生鮮,その他漁業種,不明,0,2008/01/21,24,3450,5,200,100,143.8,,
閖上,メイタガレイ,生鮮,その他漁業種,不明,0,2008/01/25,16,2700,5,250,150,168.8,,
閖上,ヒレグロ,生鮮,その他漁業種,不明,0,2008/01/25,29,2700,7,300,16,93.1,,
閖上,カガミダイ,生鮮,その他漁業種,不明,0,2008/01/25,14,500,6,50,25,35.7,,
閖上,すけとうだら,生鮮,その他漁業種,不明,0,2008/01/25,38,1650,6,66,33,43.4,,
閖上,ヤリイカ,生鮮,その他漁業種,不明,0,2008/01/25,20,4900,5,250,200,245,,
閖上,ミズダコ,生鮮,その他漁業種,不明,0,2008/01/25,12,2600,4,433,100,216.7,,
閖上,ズワイガニ,生鮮,その他漁業種,不明,0,2008/01/25,15,1500,2,160,70,100,,
閖上,きちじ,生鮮,その他漁業種,不明,0,2008/01/25,10,750,1,75,75,75,,
閖上,その他のさめ,生鮮,その他漁業種,不明,0,2008/01/25,9,2100,3,266,200,233.3,,
閖上,ミズダコ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/21,9,2400,3,333,200,266.7,,
閖上,ミズダコ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/21,35,4900,5,333,66,140,,
閖上,ミズダコ,生鮮,その他漁業種,不明,0,2008/01/21,8,1400,3,250,150,175,,
