Year,Fish_Market,Fish_Name_JP,Catch(kg),Value(Yen)
2000,kesennuma,アオサメ,419.4,58845
2002,kesennuma,アオサメ,2162.1,407010
2005,kesennuma,アオサメ,2033.5,247035
2006,kesennuma,アオサメ,1349.1,284887
2008,kesennuma,アオサメ,228.4,57100
2000,kesennuma,トラサメ,77,15365
2001,kesennuma,トラサメ,413,54100
2002,kesennuma,トラサメ,66,9303
2003,kesennuma,トラサメ,859,117637
2004,kesennuma,トラサメ,255,30050
2005,kesennuma,トラサメ,64,7672
2006,kesennuma,トラサメ,717.2,92948
2007,kesennuma,トラサメ,842.2,130943
2008,kesennuma,トラサメ,727.6,134321
2009,kesennuma,トラサメ,397.4,50042
2010,kesennuma,トラサメ,346.4,44485
2011,kesennuma,トラサメ,188.8,48239
2012,kesennuma,トラサメ,319.2,48949
2013,kesennuma,トラサメ,22,330
2014,kesennuma,トラサメ,73.8,5698
2015,kesennuma,トラサメ,27,783
2016,kesennuma,トラサメ,86,5364
2017,kesennuma,トラサメ,96,8448
2018,kesennuma,トラサメ,0,10
2000,kesennuma,バケサメ,2161,59581
2001,kesennuma,バケサメ,2202,59332
2002,kesennuma,バケサメ,1166,28702
2003,kesennuma,バケサメ,785,17118
2004,kesennuma,バケサメ,398,7186
2005,kesennuma,バケサメ,850.2,130039
2006,kesennuma,バケサメ,1966,58046
2007,kesennuma,バケサメ,3518.4,108062
2008,kesennuma,バケサメ,4309.6,180074
2009,kesennuma,バケサメ,2350.6,56092
2010,kesennuma,バケサメ,1967.8,52015
2011,kesennuma,バケサメ,362,9832
2012,kesennuma,バケサメ,608.6,13725
2013,kesennuma,バケサメ,2075.6,49543
2014,kesennuma,バケサメ,796.8,18056
2015,kesennuma,バケサメ,852.2,17282
2016,kesennuma,バケサメ,897.8,17115
2017,kesennuma,バケサメ,568.8,13403
2018,kesennuma,バケサメ,224.2,7368
