Fish_Name_JP_in_Data,Fish_Name_JP,Scientific_Name,Fish_Name_EN
アイナメ,アイナメ,Hexagrammos_otakii,fat_greenling
あお,ブリ,Seriola_quinqueradiata,japanese_amberjack
イサキ,イサキ,Parapristipoma_trilineatum,chicken_grunt
イシガレイ,イシガレイ,Ksreius_bicoloratus,stone_flounder
イシダイ,イシダイ,Oplegnathus_fasciatus,barred_knifejaw
ウマヅラハギ,ウマヅラハギ,Thamnaconus_modestus,black_scraper
ウミタナゴ,ウミタナゴ,Ditrema_temmincki_temmincki,surfperch
エゾアワビ,エゾアワビ,Haliotis_discus,japanese abalone
カガミダイ,カガミダイ,Zenopsis_nebulosa,mirror_dory
ガザミ,ガザミ,Portunus_trituberculatus,blue_swimming_clab
カナガシラ,カナガシラ,Lepidotrigla_microptera,sea_robin
キタムラサキウニ,キタムラサキウニ,Strongylocentrotus_nudus,northsea_urchin
クロウシノシタ,クロウシノシタ,Paraplagusia_japonica,black_cow_tongue
クロソイ,クロソイ,Sebastes_schlegeli,korean_rockfish
クロダイ,クロダイ,Acanthopagrus_schlegelii,blackhead_seabream
クロマグロ累計,クロマグロ,Thunnus_orientails,pacific_bluefin_tuna_total
ケムシカジカ,ケムシカジカ,Hemitripterus_villosus,sea_raven
コチ,マゴチ,Platycephalus_sp,bartail_flathead
コノシロ,コノシロ,Konosirus_punctatus,dotted_gizzard_shad
サクラマス,サクラマス,Oncorhynchus_masos,cherry_salmon
サヨリ,サヨリ,Hyporhamphus_sajori,japanese_halfbeak
サワラ,サワラ,Scormberomorus_niphonius,japanese_spanish_mackerel
シャコ,シャコ,Oratosquilla_oratoria,japanese_squillid_mantis_shrimp
しらうお類,シラウオ,Salangidhthys_microdon,japanese_icefish
シロサケ,シロサケ,Oncorhynchus_keta,chum_salmon
シロサケ累計,シロサケ,Oncorhynchus_keta,chum_salmon_total
すけとうだら,スケトウダラ,Gadus_chalcogrammus,alaska_pollock
スケトウダラ累計,スケトウダラ,Gadus_chalcogrammus,alaska_pollock_total
すずき,スズキ,Lateolabrax_japonicus,japanese_seabass
スズキ累計,スズキ,Lateolabrax_japonicus,japanese_seabass_total
せいご,スズキ,Lateolabrax_japonicus,middle_japanese_seabass
せっぱ,スズキ,Lateolabrax_japonicus,little_japanese_seabass
そげ,ヒラメ,Paralichthys_olivaceus,little_bastard_halibut
その他のいか,その他のいか,none,squid_other
その他のさかな,その他のさかな,none,fish_other
その他のそい類,その他のそい類,none,rockfish_soi_other
その他のたい,その他のたい,none,seabream_other
その他のフグ,その他のフグ,none,pufferfish_other
その他の貝類,その他の貝類,none,shellfish_other
その他の巻き貝,その他の巻き貝,none,snail_other
タチウオ,タチウオ,Trichiurus_lepturus,largehead_hairtail
トゲクリガニ,トゲクリガニ,Telmessus_acutidens,helmet_crab
とびうお類,トビウオ,Exocoetidae,flying_fish
トラフグ,トラフグ,Takifugu_rubripes,tiger_puffer
ナマコ累計,マナマコ,Apostichopus_armata,sea_cucumber_total
ニシン,ニシン,Clupea_pallasii_pallasii,pacific_heering
にべ・ぐち(いしもち),ニベ科,Sciaenidae,croaker
ヌマガレイ(カワガレイ),ヌマガレイ,Platichthys_stellatus,starry_flounder
ババガレイ,ナメタガレイ,Microstomus_achne,slime_flounder
ヒラマサ,ヒラマサ,Seriola_lalandi,yellowtail_amberjack
ひらめ,ヒラメ,Paralichthys_olivaceus,bastard_halibut
