水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20100413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,2,1.4,キロ,210
20100413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,13,6.4,キロ,1408
20100413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,37,32.9,キロ,12173
20100413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,10,14.6,キロ,8176
20100413,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大,1,8,キロ,480
20100413,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,0,3,キロ,30
20100413,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,0,0.2,キロ,60
20100413,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,0,0.6,キロ,180
20100413,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,0,5.6,キロ,224
20100413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,1,2.3,キロ,2760
20100414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,1,0.7,キロ,140
20100414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,2,1,キロ,220
20100414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,12,11.8,キロ,4956
20100414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,9,12.8,キロ,7680
20100414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,1,2.5,キロ,3125
20100414,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,6,キロ,180
20100414,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大,1,4,キロ,400
20100414,54079,ツガイナカ中村漁場　１号,27,その他魚類,1701,どんこ,0,,1,0.5,キロ,20
20100414,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.4,キロ,120
20100414,54079,ツガイナカ中村漁場　１号,11,かれい,1113,ばばがれい,0,,1,0.6,キロ,360
20100414,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小,1,1,キロ,150
20100414,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,16,キロ,640
20100414,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小,1,1,キロ,50
20100414,54079,ツガイナカ中村漁場　１号,27,その他魚類,1899,その他こなご,0,,1,9,キロ,90
20100414,54079,ツガイナカ中村漁場　１号,27,その他魚類,1899,その他こなご,0,,-1,-9,キロ,-90
20100414,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,9,キロ,90
20100415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,12,5.4,キロ,1080
20100415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,30,25.9,キロ,10360
20100415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,8,11.1,キロ,6660
20100415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,3,7.6,キロ,9880
20100415,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大,1,8,キロ,640
20100415,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,8,キロ,1744
20100415,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,5,キロ,1090
20100415,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,3,キロ,654
20100415,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,8,キロ,320
20100415,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,2,キロ,20
20100416,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,1,0.5,キロ,100
20100416,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大,2,14,キロ,1120
20100416,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,0.3,キロ,30
20100416,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,3,キロ,90
20100416,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.3,キロ,90
20100416,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,1,キロ,10
20100416,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.2,キロ,20
20100416,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,2,2.6,キロ,1430
20100416,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,2,4.2,キロ,5040
20100416,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,19,キロ,5396
20100416,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,0.6,キロ,180
20100416,54079,ツガイナカ中村漁場　１号,20,いか,2010,みずいか,0,,1,0.6,キロ,300
20100416,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,4,3.7,キロ,1665
20100418,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,3,7.7,キロ,8239
20100418,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,12,15.7,キロ,8321
20100418,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,19,16.4,キロ,6560
20100418,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,15,8,キロ,1600
20100418,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,5,3.4,キロ,612
20100418,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大,2,14,キロ,1400
20100418,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小,1,0.5,キロ,25
20100418,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,1,キロ,20
20100418,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大,1,4.2,キロ,1050
20100418,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中,2,15,キロ,1800
20100418,54079,ツガイナカ中村漁場　１号,11,かれい,1109,すながれい,0,,1,0.3,キロ,30
20100418,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,2,キロ,300
20100418,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,1,キロ,150
20100418,54079,ツガイナカ中村漁場　１号,11,かれい,1113,ばばがれい,0,,1,0.5,キロ,150
20100418,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,2,0.7,キロ,105
20100418,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,0.5,キロ,150
20100418,54079,ツガイナカ中村漁場　１号,20,いか,2010,みずいか,0,,1,7,キロ,4200
20100418,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,0.5,キロ,3
20100418,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,18,キロ,5112
20100418,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,2,キロ,40
20100418,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,1,キロ,100
20100418,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,0.3,キロ,60
20100419,54079,ツガイナカ中村漁場　１号,20,いか,2010,みずいか,0,,1,6,キロ,4200
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1199,その他かれい,0,,1,1.2,キロ,240
20100419,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中,1,8,キロ,1440
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1108,さめがれい,0,,1,0.5,キロ,50
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,1.1,キロ,165
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.6,キロ,90
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1113,ばばがれい,0,,1,0.9,キロ,360
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1114,まがれい,0,,1,0.3,キロ,90
20100419,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.9,キロ,315
20100419,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大,9,21.9,キロ,23433
20100419,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中,20,27.3,キロ,15834
20100419,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小,32,29.2,キロ,11680
20100419,54079,ツガイナカ中村漁場　１号,27,その他鮮魚,2799,その他鮮魚,0,,1,0.2,キロ,40
20100419,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,4,キロ,80
20100419,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小,16,7.8,キロ,2184
20100419,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小,1,0.4,キロ,20
20100419,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,3,キロ,15
20100419,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1,キロ,500
20100419,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小,3,41,キロ,4100
20100420,54079,ツガイナカ中村漁場　１号,20,いか,2010,みずいか,0,,1,1.2,キロ,600
20100420,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,3.2,キロ,16
