水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20140420,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.2,キロ,20
20140420,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,7.5,キロ,9000
20140420,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,18,16.2,キロ,11178
20140420,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,6,2.8,キロ,812
20140420,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小　　,2,0.8,キロ,64
20140420,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,2,キロ,40
20140420,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,0.1,キロ,10
20140420,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,2,キロ,20
20140420,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,4.3,キロ,8600
20140420,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,4.5,キロ,360
20140420,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,0.8,キロ,400
20140421,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.1,キロ,2730
20140421,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,3,3.6,キロ,3600
20140421,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,8,6.5,キロ,4550
20140421,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,1,0.5,キロ,150
20140421,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,1,1.8,キロ,162
20140421,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,2,0.8,キロ,80
20140421,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,2,キロ,810
20140422,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,3,1.5,キロ,600
20140422,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,1,0.5,キロ,105
20140422,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,19,18.4,キロ,10304
20140422,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,8.6,キロ,7912
20140422,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,4.6,キロ,5750
20140422,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,61,ヤセ　　,1,1.5,キロ,30
20140422,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.8,キロ,200
20140422,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.4,キロ,40
20140422,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1,キロ,350
20140422,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,2,キロ,40
20140423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,24,21.8,キロ,10900
20140423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2.1,キロ,2520
20140423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,15,21.4,キロ,19902
20140423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,2,1,キロ,210
20140423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,3,2.5,キロ,500
20140423,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小　　,1,0.3,キロ,18
20140423,54079,ツガイナカ中村漁場　１号,11,かれい,1117,みずくさがれい,0,,1,0.2,キロ,20
20140423,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,1.5,キロ,105
