水揚日,漁業名,荷主コード,荷主名,組合員区分,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,21,たこ,2104,柳だこ,0,,0,2,736,1472
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,4,大3ｋ　　　,1,3,1515,4545
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1116,まつかわがれい,0,活,1,0.7,1800,1260
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,0,0.5,200,100
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2022,あかいか,0,,10,110,50,5500
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1110,そうはち,0,,2,23,100,2300
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,4,活大　,2,1.8,1000,1800
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,7,２小　　,3,35,200,7000
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,6,小　　　,0,3,260,780
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,0.9,30,27
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,6,小　　　,0,4,100,400
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,5,中　　　,0,29,150,4350
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,136,小キズ,5,4.5,200,900
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,135,中キズ,3,3.8,300,1140
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,134,大キズ,1,2,550,1100
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,7,２小　　,7,3.3,250,825
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,6,小　　　,122,116.6,410,47806
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,5,中　　　,73,98.8,550,54340
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,2,ます,201,さくらます,4,大　　　,6,13,880,11440
20180418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1106,かわがれい,0,活,1,0.2,200,40
20180419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,0.2,150,30
20180419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.1,2721,8435
