水揚日,漁業名,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,6,小　　　,0,1.5,150,225
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大3ｋ　　　,2,6,1260,7560
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1108,さめがれい,0,,0,0.2,50,10
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,0,0.4,100,40
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1109,すながれい,0,,0,0.1,50,5
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,0,0.5,50,25
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,2,24,50,1200
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,4,15,60
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,2,25,35,875
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,18,205,70,14350
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,4,52,90,4680
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,0,40,100,4000
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,12,7085,55,389675
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,5,3025,58,175450
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,44,555,180,99900
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,4,30,650,19500
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,2,14,550,7700
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,14,10,200,2000
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,15,17,250,4250
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,4,6.5,350,2275
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,20,8,168,1344
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,245,191.5,358,68557
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,191,218.5,457,99855
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,37,62.5,621,38813
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,17,36,880,31680
20190414,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,2,50,100
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,0,1.1,20,22
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,1,7,400,2800
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,10,50,500
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1104,いしがれい,0,,0,1,100,100
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,0,0.2,50,10
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,0,0.5,50,25
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,6,15,90
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,1,17,35,595
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,6,74,70,5180
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,3,38,90,3420
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,2,20,100,2000
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,8,３小　　,1,0.4,50,20
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.2,2200,4840
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,6,4,100,400
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,6,7,200,1400
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,4,6,300,1800
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,10,4,170,680
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,167,122.5,366,44835
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,146,169,450,76050
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,32,51,600,30600
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,8,18,850,15300
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,10,6195,62,384090
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,25,335,179,59965
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,12,153,181,27693
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,2,23,430,9890
20190415,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,1.5,30,45
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1104,いしがれい,0,,0,1.5,100,150
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,1,7,350,2450
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1109,すながれい,0,,0,0.1,20,2
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,0,0.2,20,4
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,6,小　　　,0,1.2,200,240
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,2,50,100
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,0,1.7,20,34
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,4,15,60
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,2,18,35,630
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,10,123,70,8610
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,5,57,90,5130
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,0,4,100,400
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,138,３小キズ,5,1.7,100,170
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,26,17.5,200,3500
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,3,3.3,250,825
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,1,1.4,300,420
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,71,29,170,4930
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,437,318,367,116706
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,149,169,430,72670
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,18,29,620,17980
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,10,14.5,630,9135
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,11,23,850,19550
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大3ｋ　　　,1,3.3,1280,4224
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,1,620,58,35960
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,1,105,80,8400
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,11,152,145,22040
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,8,96,180,17280
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,9,450,4050
20190416,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,0.5,50,25
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,3,50,150
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,1,4,480,1920
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,0.3,50,15
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,0,0.2,50,10
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1104,いしがれい,0,,0,2.6,200,520
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,4,15,60
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,3,26,35,910
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,13,156,70,10920
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,4,38,90,3420
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,1,8,100,800
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.2,2300,5060
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,138,３小キズ,1,0.3,80,24
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,10,7,200,1400
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,4,4.5,250,1125
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,134,大キズ,1,2,480,960
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,15,5.5,150,825
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,154,115.5,367,42389
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,99,112,451,50512
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,22,34,630,21420
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2.1,810,1701
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,1,9,60,540
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,3,27.5,190,5225
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,1.4,510,714
20190417,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,6,小　　　,0,0.9,150,135
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,6,150,900
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,0,2,500,1000
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,0,0.9,20,18
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,8,15,120
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,2,75,35,2625
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,87,1230,70,86100
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,13,160,80,12800
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,138,３小キズ,4,1.4,90,126
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,8,5,200,1000
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,2,2.1,250,525
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,26,11.4,170,1938
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,190,138,359,49542
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,86,96.5,439,42364
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,15,24.3,660,16038
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,4,8.3,900,7470
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,1,515,70,36050
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,13,152,200,30400
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,9.5,570,5415
20190418,その他定置網漁業,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,11,150,1650
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1102,あさばがれい,0,,0,0.8,100,80
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,0,3,500,1500
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,1,2,15,30
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,2,21,35,735
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,29,355,70,24850
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,4,45,80,3600
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.5,3300,11550
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,8,5.2,200,1040
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,3,3.3,250,825
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,17,7.1,163,1157
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,128,93,357,33201
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,81,92.5,450,41625
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,7,11,600,6600
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,7,16,800,12800
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大3ｋ　　　,1,3.1,1020,3162
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,7,２小　　,1,6,50,300
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,2,17,70,1190
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,5,68,205,13940
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,0,8,600,4800
20190419,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,0.5,50,25
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,1,3,60,180
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,3,大大　　,0,2,490,980
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,0,0.7,100,70
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,0,3,50,150
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,8,３小　　,0,0.4,100,40
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,6,小　　　,0,3.6,200,720
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,5,中　　　,0,1.2,250,300
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,0,2,15,30
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,3,26,35,910
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,28,320,70,22400
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,2,17,90,1530
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,3,22,100,2200
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,205,さくらます活〆,5,中　　　,20,31,700,21700
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,4,3,200,600
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,3,3.3,255,842
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,8,３小　　,19,8,163,1304
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,117,88,347,30536
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,93,106,461,48866
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,8,18,740,13320
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大3ｋ　　　,1,3,1150,3450
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,65,込　　　,1,655,75,49125
20190421,その他定置網漁業,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,6,92,140,12880
