Fish_Name,Market,Standard,Catch,Ave_Value,Fish_Body_Composition_L,Fish_Body_Composition_M,Fish_Body_Composition_S,Fish_Body_Composition_XS,Date
冷メバチ,三崎,冷凍,21.0,972,,,,,2021-05-19
冷ハタハタ,浜坂,冷凍,0.9,169,,,,,2021-05-19
冷ホッコクアカエビ(ｱﾏｴﾋﾞ,浜坂,冷凍,5.0,690,,,,,2021-05-19
冷ガラエビ(ﾄｹﾞｻﾞｺｴﾋﾞ),浜坂,冷凍,0.0,"2,080",,,,,2021-05-19
冷えび類,浜坂,冷凍,0.0,"2,601",,,,,2021-05-19
冷ホタルイカ,浜坂,冷凍,1.9,193,,,,,2021-05-19
生キンメダイ,下田,生鮮,5.9,959,3,9,15,73,2021-05-19
生イサキ,下田,生鮮,0.0,447,,100,,,2021-05-19
生マアジ,唐津,生鮮,17.6,210,,,90,,2021-05-19
生マサバ,唐津,生鮮,0.9,97,,,,100,2021-05-19
生その他のいか類,唐津,生鮮,0.4,621,,,,,2021-05-19
生ウルメイワシ,松浦,生鮮,30.1,77,,,,,2021-05-19
生マアジ,松浦,生鮮,50.5,181,97,,3,,2021-05-19
生マサバ,松浦,生鮮,94.7,68,1,,,8,2021-05-19
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),松浦,生鮮,5.2,75,,41,59,,2021-05-19
生ヒラマサ,松浦,生鮮,0.0,193,100,,,,2021-05-19
生カンパチ,松浦,生鮮,0.0,288,,,,,2021-05-19
生さわら類,松浦,生鮮,0.2,337,6,,94,,2021-05-19
生マダイ(天然),松浦,生鮮,0.9,222,,,,,2021-05-19
生イシダイ,松浦,生鮮,0.1,"1,234",,,,,2021-05-19
生イシガキダイ,松浦,生鮮,0.0,"1,256",,,,,2021-05-19
生カツオ(旋網),松浦,生鮮,0.0,247,,,,,2021-05-19
生そうだがつお類,松浦,生鮮,0.1,63,,,,,2021-05-19
生シイラ,松浦,生鮮,1.3,46,,,,,2021-05-19
生メカジキ,松浦,生鮮,0.1,675,,,,,2021-05-19
生ヒラメ(天然),松浦,生鮮,0.0,324,,,,,2021-05-19
生えそ類,松浦,生鮮,1.6,92,100,,,,2021-05-19
生イサキ,松浦,生鮮,0.0,255,100,,,,2021-05-19
生タチウオ,松浦,生鮮,1.1,95,17,,,83,2021-05-19
生とびうお類,松浦,生鮮,0.0,64,,,,,2021-05-19
生かます類,松浦,生鮮,0.7,370,,,,,2021-05-19
生その他の魚類,松浦,生鮮,0.3,107,,,,,2021-05-19
生イセエビ,松浦,生鮮,0.1,"4,732",,,,,2021-05-19
生スルメイカ,松浦,生鮮,1.9,330,47,,,2,2021-05-19
生ヤリイカ,松浦,生鮮,8.9,762,,,,,2021-05-19
生アオリイカ,松浦,生鮮,0.2,494,,,,,2021-05-19
生ソデイカ（紅イカ）,松浦,生鮮,0.0,30,,,,,2021-05-19
生マアジ,枕崎,生鮮,0.0,478,,,,,2021-05-19
生むろあじ類(ﾏﾙｱｼﾞ除),枕崎,生鮮,0.0,77,,,,,2021-05-19
生マサバ,枕崎,生鮮,0.0,229,,,,,2021-05-19
生ゴマサバ,枕崎,生鮮,16.8,163,,,,,2021-05-19
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),枕崎,生鮮,0.1,90,,,,,2021-05-19
生カンパチ,枕崎,生鮮,0.0,794,,,,,2021-05-19
生マダイ(天然),枕崎,生鮮,0.1,196,,,,,2021-05-19
生そうだがつお類,枕崎,生鮮,0.2,65,,,,,2021-05-19
生ハガツオ,枕崎,生鮮,0.2,368,,,,,2021-05-19
生スマ(ﾔｲﾄ),枕崎,生鮮,0.0,480,,,,,2021-05-19
生シイラ,枕崎,生鮮,0.0,380,,,,,2021-05-19
生めばる類,枕崎,生鮮,0.1,90,,,,,2021-05-19
生こち類,枕崎,生鮮,0.0,350,,,,,2021-05-19
生イサキ,枕崎,生鮮,0.0,590,,,,,2021-05-19
生スズキ,枕崎,生鮮,0.0,300,,,,,2021-05-19
生キビナゴ,枕崎,生鮮,1.6,355,,,,,2021-05-19
生とびうお類,枕崎,生鮮,0.0,90,,,,,2021-05-19
生かます類,枕崎,生鮮,0.0,179,,,,,2021-05-19
生ブダイ,枕崎,生鮮,0.0,280,,,,,2021-05-19
生ニザダイ,枕崎,生鮮,0.0,567,,,,,2021-05-19
生メジナ,枕崎,生鮮,0.0,331,,,,,2021-05-19
生ふえだい類(まち類除),枕崎,生鮮,0.0,400,,,,,2021-05-19
生ふえふきだい類(ﾀﾏﾐ),枕崎,生鮮,0.0,750,,,,,2021-05-19
生その他の魚類,枕崎,生鮮,0.4,35,,,,,2021-05-19
生アオリイカ,枕崎,生鮮,0.0,"1,417",,,,,2021-05-19
生マイワシ,沼津,生鮮,111.8,19,,,,,2021-05-19
生カタクチイワシ,沼津,生鮮,2.3,32,,,,,2021-05-19
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),沼津,生鮮,6.0,81,,,,,2021-05-19
生ウルメイワシ,浜坂,生鮮,0.0,327,,,,,2021-05-19
生マダイ(天然),浜坂,生鮮,0.0,"1,142",,,,,2021-05-19
生アカガレイ（ミガレイ）,浜坂,生鮮,0.3,383,,,,,2021-05-19
生かさご類,浜坂,生鮮,0.0,683,,,,,2021-05-19
生げんげ類,浜坂,生鮮,0.1,159,,,,,2021-05-19
生ホッコクアカエビ(ｱﾏｴﾋﾞ,浜坂,生鮮,0.6,"1,206",,,,,2021-05-19
生ガラエビ(ﾄｹﾞｻﾞｺｴﾋﾞ),浜坂,生鮮,0.1,"1,371",,,,,2021-05-19
生スルメイカ,浜坂,生鮮,0.9,724,,,,,2021-05-19
生ケンサキイカ（シロイカ,浜坂,生鮮,0.0,"2,170",,,,,2021-05-19
生ホタルイカ,浜坂,生鮮,4.9,158,,,,,2021-05-19
生カタクチイワシ,浜田,生鮮,1.0,22,,,,,2021-05-19
